server ready

accept a client with ip address of ('10.0.0.4', 59540)!
File transfer successfully! It spend 0.0004999637603759766 seconds to transfer to client ('10.0.0.4', 59540)

accept a client with ip address of ('10.0.0.2', 51034)!
File transfer successfully! It spend 0.0004029273986816406 seconds to transfer to client ('10.0.0.2', 51034)

accept a client with ip address of ('10.0.0.2', 51036)!
File transfer successfully! It spend 0.0005345344543457031 seconds to transfer to client ('10.0.0.2', 51036)

accept a client with ip address of ('10.0.0.3', 35634)!
File transfer successfully! It spend 0.0007405281066894531 seconds to transfer to client ('10.0.0.3', 35634)

accept a client with ip address of ('10.0.0.4', 59548)!
File transfer successfully! It spend 0.0004336833953857422 seconds to transfer to client ('10.0.0.4', 59548)

accept a client with ip address of ('10.0.0.2', 51042)!
File transfer successfully! It spend 0.0004534721374511719 seconds to transfer to client ('10.0.0.2', 51042)

accept a client with ip address of ('10.0.0.4', 59552)!
File transfer successfully! It spend 0.0005004405975341797 seconds to transfer to client ('10.0.0.4', 59552)

accept a client with ip address of ('10.0.0.2', 51046)!
File transfer successfully! It spend 0.0004436969757080078 seconds to transfer to client ('10.0.0.2', 51046)

accept a client with ip address of ('10.0.0.2', 51048)!
File transfer successfully! It spend 0.0005230903625488281 seconds to transfer to client ('10.0.0.2', 51048)

accept a client with ip address of ('10.0.0.4', 59558)!
File transfer successfully! It spend 0.0006773471832275391 seconds to transfer to client ('10.0.0.4', 59558)

accept a client with ip address of ('10.0.0.7', 60796)!
accept a client with ip address of ('10.0.0.3', 35650)!
File transfer successfully! It spend 0.0014445781707763672 seconds to transfer to client ('10.0.0.7', 60796)
File transfer successfully! It spend 0.0009715557098388672 seconds to transfer to client ('10.0.0.3', 35650)


accept a client with ip address of ('10.0.0.4', 59564)!
File transfer successfully! It spend 0.0007710456848144531 seconds to transfer to client ('10.0.0.4', 59564)

accept a client with ip address of ('10.0.0.3', 35654)!
File transfer successfully! It spend 0.0005824565887451172 seconds to transfer to client ('10.0.0.3', 35654)

accept a client with ip address of ('10.0.0.7', 60804)!
File transfer successfully! It spend 0.0006177425384521484 seconds to transfer to client ('10.0.0.7', 60804)

accept a client with ip address of ('10.0.0.3', 35658)!
File transfer successfully! It spend 0.0005602836608886719 seconds to transfer to client ('10.0.0.3', 35658)

accept a client with ip address of ('10.0.0.3', 35660)!
File transfer successfully! It spend 0.0005242824554443359 seconds to transfer to client ('10.0.0.3', 35660)

accept a client with ip address of ('10.0.0.7', 60810)!
File transfer successfully! It spend 0.0006427764892578125 seconds to transfer to client ('10.0.0.7', 60810)

accept a client with ip address of ('10.0.0.7', 60812)!
File transfer successfully! It spend 0.0011372566223144531 seconds to transfer to client ('10.0.0.7', 60812)

accept a client with ip address of ('10.0.0.5', 33180)!
File transfer successfully! It spend 0.0005462169647216797 seconds to transfer to client ('10.0.0.5', 33180)

accept a client with ip address of ('10.0.0.7', 60816)!
File transfer successfully! It spend 0.0005695819854736328 seconds to transfer to client ('10.0.0.7', 60816)

accept a client with ip address of ('10.0.0.5', 33184)!
File transfer successfully! It spend 0.0007729530334472656 seconds to transfer to client ('10.0.0.5', 33184)

accept a client with ip address of ('10.0.0.5', 33186)!
File transfer successfully! It spend 0.0005152225494384766 seconds to transfer to client ('10.0.0.5', 33186)

accept a client with ip address of ('10.0.0.5', 33188)!
File transfer successfully! It spend 0.00047969818115234375 seconds to transfer to client ('10.0.0.5', 33188)

accept a client with ip address of ('10.0.0.5', 33190)!
File transfer successfully! It spend 0.0007593631744384766 seconds to transfer to client ('10.0.0.5', 33190)

accept a client with ip address of ('10.0.0.5', 33192)!
File transfer successfully! It spend 0.0005173683166503906 seconds to transfer to client ('10.0.0.5', 33192)

accept a client with ip address of ('10.0.0.5', 33194)!
File transfer successfully! It spend 0.0004475116729736328 seconds to transfer to client ('10.0.0.5', 33194)

accept a client with ip address of ('10.0.0.5', 33196)!
File transfer successfully! It spend 0.0004830360412597656 seconds to transfer to client ('10.0.0.5', 33196)

accept a client with ip address of ('10.0.0.5', 33198)!
File transfer successfully! It spend 0.0006968975067138672 seconds to transfer to client ('10.0.0.5', 33198)

accept a client with ip address of ('10.0.0.5', 33200)!
File transfer successfully! It spend 0.0008134841918945312 seconds to transfer to client ('10.0.0.5', 33200)

